,Name,Location,Job Title
842,Cognizant,"Dallas, Texas",Micro-services Developer
843,Diverse Lynx LLC,"Lewisville, Texas",Abinitio Developer
844,Volt Workforce Solutions,"Dallas, Texas",Senior .NET Developer
845,TD Ameritrade,"Fort Worth, Texas",Investment Education Group - Sr Front End Developer - Multiple Locations
846,Smartbridge,"Houston, Texas",Senior ETL Developer SSIS
847,GTN Technical Staffing,"Plano, Texas",EL-11428 Front-End Developer
848,veriten,"Dallas, Texas",ios developer
849,Solarwinds Inc.,"Austin, Texas",Senior Developer
850,"Technology Navigators, Inc.","Austin, Texas","Software Developer - C#, Web Services"
851,projekt202,"Garland, Texas",Senior .NET Developer
852,Process Systems and Solutions,"Austin, Texas",Full Stack Web Developer
853,"Value Global, LLC.","Garland, Texas",Front End Mobile Developer
854,IBM,"Austin, Texas",Application Developer
855,Pariveda Solutions,"Houston, Texas",Lead Developer
856,Verizon,"Irving, Texas",Java UI Developer
857,Riccione Resources,"Garland, Texas","Software Engineer - C, ARM"
858,CyberCoders,"Dallas, Texas","Principal Software Engineer - ASP.NET, MVC, Angular"
859,Z-Tech Solutions,"Garland, Texas",Software Engineer - React Develper
860,PepsiCo,"Plano, Texas",R&D Associate Principal Scientist - Seasoning Developer
861,JPMorgan Chase & Co.,"Houston, Texas",Java Applications Developer
862,Match.com,"Garland, Texas","Lead Software Engineer (Web API, C#)"
863,Visa,"Austin, Texas",Senior Staff Software Engineer
864,Maxsys Solutions,"Garland, Texas",Software Developer
865,ComCept,"Rockwall, Texas",UI/UX Web Developer
866,Tata Consultancy Services,"Irving, Texas",HTML5 UI Developer(5+ Yrs exp)
867,Worldwide Machinery,"Houston, Texas",Full-Stack developer C# and Javascript
868,Wipro,"Austin, Texas",iOS Engineer
869,Lockheed Martin,"Grand Prairie, Texas","Web Developer / Energy Storage Dashboard / Grand Prairie, TX"
870,Lifesize,"Austin, Texas",Embedded User Interface (UI) Engineer with Lifesize!
871,Odyssey Information Services,"Dallas, Texas",ServiceNow Developer
872,"HUNTER Technical Resources, LLC","Carrollton, Texas",UI Developer
873,Sally Beauty,"Denton, Texas",Senior Application Developer
874,R3PI,"Roanoke, Texas",Senior 3D Developer (Unity)
875,USM,"Houston, Texas","Frontend Web Developer Only on W2 Houston, TX"
876,Computer Futures,"Plano, Texas",AngluarJS Developer with LifeRay
877,"KellyMitchell Group, Inc","Plano, Texas",Analytical Software Developer
878,CyberCoders,"Dallas, Texas","Senior Web Developer - JavaScript, Responsive Design, .NET"
879,"RealPage, Inc.","Garland, Texas",Mobile Developer
880,SaaS Software Startup,"Houston, Texas",UI / UX Designer / Developer - AngularJS Developer
881,Continental Technology Solutions,"Irving, Texas",TIBCO BW Developer
882,Atavas,"Dallas, Texas",Software/Python Developer
883,"HUNTER Technical Resources, LLC","Frisco, Texas",Full Stack Developer
884,Robert Half Technology,"Austin, Texas",PHP Developer - MVC Framework needed
885,Hiring Ideas,"Plano, Texas",DevOps Developer
886,IBM,"Austin, Texas",Rails Developer
887,Sonsoft Inc,"Dallas, Texas",Salesforce Developer
888,Workbridge Associates,"Fort Worth, Texas",Senior C# Web Developer in Fort Worth
889,shrikon,"Irving, Texas",Spark Developer
890,Maxsys Solutions,"Garland, Texas",SSAS/SQL Developer - Contract to Hire - W2
891,Deloitte,"Dallas, Texas",Senior Salesforce Developer - Senior Consultant
892,Triquest Business Services,"San Antonio, Texas",Systems Software Developer III.
893,Rackspace,"San Antonio, Texas",Senior Software Developer
894,"Technology Navigators, Inc.","Austin, Texas","Software Developer - C#, Web Services"
895,MATRIX Resources,"Plano, Texas",Java Developer
896,ComCept,"Rockwall, Texas",Sr R&D/Full Stack Web Developer
897,Lanyon,"Dallas, Texas",Senior .NET Developer
898,Verizon,"Irving, Texas",Ios Developer
899,R3PI,"Roanoke, Texas",Senior iOS Developer (Dallas)
900,ComCept,"Rockwall, Texas",Sr R&D/Full Stack Web Developer
901,Capgemini,"Irving, Texas",IRVING Campus Recruiting 2017 - CSD - Programmer/Developer
902,Lanyon,"Dallas, Texas",Senior .NET Developer
903,Camden Kelly Corporation,"Plano, Texas",Sr. Front-End Developer – Collaborate with a dynamic tech dream team
904,Verizon,"Irving, Texas",Ios Developer
905,R3PI,"Roanoke, Texas",Senior iOS Developer (Dallas)
906,Tata Consultancy Services,"Plano, Texas",Documentum Developer
907,The HT Group,"Austin, Texas",Systems Developer
908,JPMorgan Chase & Co.,"Houston, Texas",Athena Application Developer
909,Computer Futures,"Houston, Texas",Senior Web Developer - modern javascript frameworks
910,SaaS Software Startup,"Houston, Texas",UI / UX Designer / Developer - AngularJS Developer
911,Atavas,"Austin, Texas",Web/Mobile Software Developer
912,Robert Half Technology,"Richardson, Texas",PHP Developer RICHARDSON $90-105K
913,Continental Technology Solutions,"Irving, Texas",Microservices/Cloud Developer
914,Sonsoft Inc,"Austin, Texas",Java J2EE Developer
915,Hiring Ideas,"Roanoke, Texas",Progress Developer
916,IBM,"Austin, Texas",Sr. Node.js Developer
917,Workbridge Associates,"Dallas, Texas",.NET Developer
918,"TriQuest Business Services, LLC.","San Antonio, Texas",Senior Java Developer
919,veriten,"Dallas, Texas",android developer
920,"Technology Navigators, Inc.","Austin, Texas","Full Stack Software Developer - C#, ASP.NET, JavaScript, HTML, CSS"
921,Zigatta,"Dallas, Texas",UI Developer/Engineer
922,The Creative Group,"Houston, Texas",UI Developer/Mobile Developer
923,IntelliSoft Technologies,"Houston, Texas","Functional Developer-SAP SD OTC & Logistics Execution - Houston, TX"
924,CDI Corporation,"San Antonio, Texas",FP JG Application Developer(Security) PGJ
925,ComCept,"Rockwall, Texas",UI/UX Developer
926,MATRIX Resources,"Grapevine, Texas",Informatica PowerCenter Developer
927,Genuent,"Houston, Texas",Full Stack Developer
928,Verizon,"Irving, Texas",SDN and NFV Developer
929,R3PI,"Garland, Texas",iOS Developer in Test
930,Capital One,"Plano, Texas",AWS Application Developer
931,Rackspace,"Austin, Texas",Software Developer - Cloud Control Panel & Platform-2
932,Lanyon,"Dallas, Texas",Java Developer
933,Camden Kelly Corporation,"Lewisville, Texas",Sr. Python Developer – Quick to market & steady growth
934,Nigel Frank International,"Plano, Texas","MS Cloud Developer - Plano, TX - $130K + Bonus + Benefits"
935,Prestigious International Financial Firm,"Garland, Texas",Microservices Developer
936,Atavas,"Austin, Texas",SQL Database Developer
937,Hiring Ideas,"Plano, Texas",Web Developer and Angular JS
938,Robert Half Technology,"Dallas, Texas",BI Developer DALLAS $120-130K + Bonus
939,Workbridge Associates,"Dallas, Texas",Front End Developer (Contract)
940,Volt Workforce Solutions,"Austin, Texas",C++ Game Developer (Mid/Sr) - Direct
941,Trinity Industries,"Dallas, Texas",Application Developer
942,"HUNTER Technical Resources, LLC","Arlington, Texas",Sr. Mobile Application Developer (Android)
943,Zigatta,"Dallas, Texas",Senior .NET Developer
944,CDI Corporation,"San Antonio, Texas",JG FP Application Developer Java/ PJJ
945,IntelliSoft Technologies,"Dallas, Texas",Sr. Developer (Secure File Transfer SFTP)
946,Genuent,"Austin, Texas",Websphere Commerce Developer
947,Maxsys Solutions,"Garland, Texas",XML Developer - Contract to Hire - W2
948,Verizon,"Irving, Texas",Java UI Developer
949,Deloitte,"Austin, Texas",SuccessFactors Functional Analyst – Solution Developer- USDC
950,Camden Kelly Corporation,"Frisco, Texas",Sr. ASP.Net MVC Application Developer – Creative techies collaborate
951,James Avery Craftsman Inc,"Austin, Texas",ETL Developer
952,"HUNTER Technical Resources, LLC","Austin, Texas",Sr. Android Developer
953,Sonsoft Inc,"Austin, Texas",.NET Developer with WCF/WebServices
954,CDI Corporation,"Dallas, Texas",JG FP Application Developer(Experience Engineering.Front End) / PGN
955,IntelliSoft Technologies,"Dallas, Texas",Sr. Java Developer with Microservices
956,Continental Technology Solutions,"Roanoke, Texas",Progress Developer
957,IBM,"Austin, Texas",Cloud Storage Developer
958,Deloitte,"Houston, Texas",Oracle HCM Cloud (Fusion) Solution Developer - USDC
959,Verizon,"Irving, Texas",Senior User Interface Developer
960,Blue Cross Blue Shield of Illinois,"Richardson, Texas",Sr. Developer - Mobile Application
961,MATRIX Resources,"Southlake, Texas",Web Developer - LAMP
962,R3PI,"Roanoke, Texas",Front End/Mobile Developer
963,Capital One,"Plano, Texas",Data Engineer (Angular JS Developer)
964,Atavas,"Austin, Texas",Senior Software Engineer .Net Developer
965,"HUNTER Technical Resources, LLC","Irving, Texas",Andriod Application Developer
966,Hiring Ideas,"Dallas, Texas",Senior Developer - Mainframe IDMB/ADSO
967,Robert Half Technology,"Lewisville, Texas",Sr. NET Developer
968,Sonsoft Inc,"Houston, Texas",SALESFORCE Marketing Cloud Developer (SFDC CRM)
969,Workbridge Associates,"Dallas, Texas",Front End Developer- Senior
970,IntelliSoft Technologies,"Addison, Texas","CTH - Java Developer - Addison, TX"
971,IBM,"Austin, Texas",Cloud Developer
972,Deloitte,"Houston, Texas",Senior Salesforce Developer - Specialist Senior
973,Continental Technology Solutions,"Irving, Texas",Java Developer
974,Denovo Services,"Addison, Texas",Senior Business Intelligence Developer
975,Zigatta,"Dallas, Texas",Android Developer
976,Capital One,"Plano, Texas",Front End Web Developer
977,MATRIX Resources,"Irving, Texas",Database Developer with VBA coding and scripting with SQL or Powershell
978,Camden Kelly Corporation,"Lewisville, Texas",Python Developer – Cut your technical ties & thrive!
979,Atavas,"Temple, Texas",Sr. Web Developer
980,"HUNTER Technical Resources, LLC","Irving, Texas",iOS Application Developer
981,Hiring Ideas,"San Antonio, Texas",Sr. BI/Analytics Developer
982,Robert Half Technology,"Frisco, Texas",Full-Stack .NET Developer FRISCO $90-110K
983,Sonsoft Inc,"Richardson, Texas",UI Frontend Developer
984,IBM,"Austin, Texas",Software Developer Intern/Co-op
985,Workbridge Associates,"Allen, Texas",Senior C# Web Developer with Mobile Experience
986,TEC Group Inc (Hp Client),"Houston, Texas",.NET Developer ((Job number: 65973-65975)
987,Zigatta,"Dallas, Texas",Senior iOS Developer
988,CDI Corporation,"Austin, Texas",Account/Technical Subject Matter Expert (Systems Services/Application Developer)/PGN
989,Verizon,"Irving, Texas",Java Developer - 2 years experience
990,Camden Kelly Corporation,"Frisco, Texas",ASP.Net MVC Application Developer – Flextime & out of the box ideas
991,Atavas,"Houston, Texas",Software Test Developer
992,Robert Half Technology,"Frisco, Texas",Java Developer
993,Hiring Ideas,"Plano, Texas",Android Developer
994,Sonsoft Inc,"Richardson, Texas",Java Ui Developer
995,IBM,"Houston, Texas",Software Developer - Co-op/Intern
996,Workbridge Associates,"Dallas, Texas",Senior MEAN Stack Developer- Direct Hire
997,Progressive Energy Company using Microsoft Technologies,"Houston, Texas",.net Developer - January 5th start date!
998,IntelliSoft Technologies,"Dallas, Texas",Mid Level .Net Developer with Compliance Exp
999,Deloitte,"Austin, Texas",Oracle HCM - Solution Developer - USDC
